UnitID,City,Zipcode,Battalion,StationArea,Box,OriginalPriority,Priority,ALSUnit,CallTypeGroup,NumAlarms,UnitType,UnitSequenceInCallDispatch,FirePreventionDistrict,SupervisorDistrict,Neighborhood,Delay
E36,SF,94102.0,B02,36,1646,3,3,False,,1,ENGINE,1.0,2.0,6.0,Tenderloin,1.8166667
M01,SF,94102.0,B03,01,1456,3,3,True,,1,MEDIC,2.0,3.0,6.0,Tenderloin,3.5166667
M36,SF,94102.0,B02,05,3424,2,2,True,,1,MEDIC,1.0,2.0,5.0,Hayes Valley,4.5333333
E43,SF,94112.0,B09,43,0622,3,3,True,,1,ENGINE,1.0,9.0,11.0,Excelsior,2.0666666
E07,SF,94110.0,B06,07,5472,3,3,False,,1,ENGINE,1.0,6.0,9.0,Mission,0.81666666
E34,SF,94121.0,B07,34,7311,3,3,False,,1,ENGINE,1.0,7.0,1.0,Outer Richmond,4.2833333
M07,SF,94110.0,B10,37,2554,3,3,True,,1,MEDIC,1.0,10.0,9.0,Mission,1.5166667
M07,SF,94110.0,B02,07,5237,3,3,True,,1,MEDIC,1.0,2.0,9.0,Mission,2.1666667
M36,SF,94114.0,B05,06,5131,3,3,True,,1,MEDIC,1.0,5.0,8.0,Haight Ashbury,2.9833333
94,SF,94103.0,B03,01,1364,1,1,True,,1,MEDIC,1.0,3.0,6.0,South of Market,1.25
RC2,SF,94121.0,B07,34,7252,3,3,True,,1,RESCUE CAPTAIN,10.0,7.0,1.0,Outer Richmond,3.5333333
RS1,SF,94121.0,B07,34,7252,3,3,False,,1,RESCUE SQUAD,11.0,7.0,1.0,Outer Richmond,1.9333333
E35,SF,94103.0,B03,08,2312,3,3,False,,1,ENGINE,2.0,3.0,6.0,South of Market,11.916667
B01,SF,94133.0,B01,28,1225,3,3,False,,1,CHIEF,2.0,1.0,3.0,North Beach,1.8833333
94,SF,94111.0,B01,13,1133,3,3,True,,1,MEDIC,1.0,1.0,3.0,Financial District/South Beach,1.95
E03,SF,94102.0,B02,03,3163,3,3,True,,1,ENGINE,1.0,2.0,6.0,Tenderloin,1.2666667
M03,SF,94102.0,B02,03,1545,3,3,True,,1,MEDIC,1.0,2.0,6.0,Tenderloin,2.2
M17,SF,94124.0,B10,17,6512,3,3,True,,1,MEDIC,2.0,10.0,10.0,Bayview Hunters Point,1.9166666
E43,SF,94112.0,B09,43,6126,3,3,True,,1,ENGINE,1.0,9.0,11.0,Excelsior,0.93333334
M36,SF,94103.0,B02,06,5226,3,3,True,,1,MEDIC,2.0,2.0,8.0,Mission,2.8333333
K917,SF,94103.0,B03,01,2213,3,3,False,,1,PRIVATE,1.0,3.0,6.0,Financial District/South Beach,4.266667
B02,SF,94103.0,B02,01,2318,3,3,False,,1,CHIEF,2.0,2.0,6.0,South of Market,2.2333333
M07,SF,94114.0,B02,06,5421,1,1,True,,1,MEDIC,1.0,2.0,8.0,Castro/Upper Market,5.116667
B04,SF,94133.0,B01,28,1434,3,3,True,,1,CHIEF,6.0,1.0,3.0,North Beach,4.45
T16,SF,94133.0,B01,28,1434,3,3,False,,1,TRUCK,4.0,1.0,3.0,North Beach,8.633333
UU1,SF,94133.0,B01,28,1434,3,3,False,,1,SUPPORT,9.0,1.0,3.0,North Beach,95.28333
E01,SF,94111.0,B01,13,1113,3,3,False,,1,ENGINE,8.0,1.0,3.0,Financial District/South Beach,1.9333333
T14,SF,94118.0,B07,31,7137,3,3,False,,1,TRUCK,1.0,7.0,2.0,Inner Richmond,2.0666666
E35,SF,94105.0,B03,13,2143,3,3,False,,1,ENGINE,3.0,3.0,6.0,Financial District/South Beach,2.6333334
